38.123.100.198 - - [21/Nov/2015:14:38:27 -0800] "GET / HTTP/1.1" 404 994
127.0.0.1 - - [21/Nov/2015:18:38:23 -0800] "GET / HTTP/1.1" 404 994
127.0.0.1 - - [21/Nov/2015:18:38:24 -0800] "GET /Planit/dashBoard.jsp HTTP/1.1" 200 243
127.0.0.1 - - [21/Nov/2015:18:38:44 -0800] "GET /Planit/dashBoard.jsp HTTP/1.1" 200 243
127.0.0.1 - - [21/Nov/2015:18:39:05 -0800] "GET /Planit/dashBoard.jsp HTTP/1.1" 200 243
127.0.0.1 - - [21/Nov/2015:18:39:08 -0800] "GET /Planit/dashBoard.jsp HTTP/1.1" 200 243
127.0.0.1 - - [21/Nov/2015:18:39:09 -0800] "GET /Planit/dashBoard.jsp HTTP/1.1" 200 243
127.0.0.1 - - [21/Nov/2015:18:39:27 -0800] "GET /Planit/dashBoard.jsp HTTP/1.1" 200 244
127.0.0.1 - - [21/Nov/2015:18:40:01 -0800] "GET /Planit/dashBoard.jsp HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [21/Nov/2015:18:46:38 -0800] "POST /planit/addOrganization HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [21/Nov/2015:18:46:50 -0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Nov/2015:18:46:50 -0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Nov/2015:18:48:48 -0800] "POST /addOrganization HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [21/Nov/2015:18:52:43 -0800] "GET /Planit/index.jsp HTTP/1.1" 200 13228
0:0:0:0:0:0:0:1 - - [21/Nov/2015:18:52:43 -0800] "GET /main.js HTTP/1.1" 404 1008
0:0:0:0:0:0:0:1 - - [21/Nov/2015:18:52:43 -0800] "GET /style.css HTTP/1.1" 404 1012
0:0:0:0:0:0:0:1 - - [21/Nov/2015:18:52:43 -0800] "GET /jquery-2.1.4.min.js HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [21/Nov/2015:18:52:44 -0800] "GET /Planit.png HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [21/Nov/2015:18:55:08 -0800] "GET /Planit/index.jsp HTTP/1.1" 200 13228
0:0:0:0:0:0:0:1 - - [21/Nov/2015:18:55:08 -0800] "GET /style.css HTTP/1.1" 404 1012
0:0:0:0:0:0:0:1 - - [21/Nov/2015:18:55:08 -0800] "GET /Planit.png HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [21/Nov/2015:18:55:08 -0800] "GET /jquery-2.1.4.min.js HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [21/Nov/2015:18:55:08 -0800] "GET /main.js HTTP/1.1" 404 1008
0:0:0:0:0:0:0:1 - - [21/Nov/2015:18:55:08 -0800] "GET /Planit.png HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [21/Nov/2015:18:56:05 -0800] "GET /Planit/index.jsp HTTP/1.1" 200 13227
0:0:0:0:0:0:0:1 - - [21/Nov/2015:18:56:05 -0800] "GET /jquery-2.1.4.min.js HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [21/Nov/2015:18:56:05 -0800] "GET /Planit.png HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [21/Nov/2015:18:56:05 -0800] "GET /Planit/style.css HTTP/1.1" 200 3863
0:0:0:0:0:0:0:1 - - [21/Nov/2015:18:56:05 -0800] "GET /main.js HTTP/1.1" 404 1008
0:0:0:0:0:0:0:1 - - [21/Nov/2015:18:56:05 -0800] "GET /Planit.png HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [21/Nov/2015:18:58:12 -0800] "GET /Planit/index.jsp HTTP/1.1" 200 13227
0:0:0:0:0:0:0:1 - - [21/Nov/2015:18:58:13 -0800] "GET /Planit.png HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [21/Nov/2015:18:58:13 -0800] "GET /main.js HTTP/1.1" 404 1008
0:0:0:0:0:0:0:1 - - [21/Nov/2015:18:58:13 -0800] "GET /jquery-2.1.4.min.js HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [21/Nov/2015:18:58:13 -0800] "GET /Planit/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:18:58:13 -0800] "GET /Planit.png HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [21/Nov/2015:18:58:26 -0800] "GET /Planit/index.jsp HTTP/1.1" 200 13227
0:0:0:0:0:0:0:1 - - [21/Nov/2015:18:58:26 -0800] "GET /Planit.png HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [21/Nov/2015:18:58:26 -0800] "GET /jquery-2.1.4.min.js HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [21/Nov/2015:18:58:26 -0800] "GET /main.js HTTP/1.1" 404 1008
0:0:0:0:0:0:0:1 - - [21/Nov/2015:18:58:26 -0800] "GET /Planit.png HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [21/Nov/2015:18:58:50 -0800] "GET /Planit/index.jsp HTTP/1.1" 200 13227
0:0:0:0:0:0:0:1 - - [21/Nov/2015:18:58:50 -0800] "GET /Planit.png HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [21/Nov/2015:18:58:50 -0800] "GET /jquery-2.1.4.min.js HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [21/Nov/2015:18:58:50 -0800] "GET /main.js HTTP/1.1" 404 1008
0:0:0:0:0:0:0:1 - - [21/Nov/2015:18:58:50 -0800] "GET /Planit.png HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:00:24 -0800] "GET /Planit/index.jsp HTTP/1.1" 200 13227
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:00:24 -0800] "GET /Planit/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:00:24 -0800] "GET /jquery-2.1.4.min.js HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:00:24 -0800] "GET /Planit.png HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:00:24 -0800] "GET /main.js HTTP/1.1" 404 1008
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:00:24 -0800] "GET /Planit.png HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:00:54 -0800] "GET /Planit/index.jsp HTTP/1.1" 200 13227
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:00:54 -0800] "GET /Planit.png HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:00:54 -0800] "GET /jquery-2.1.4.min.js HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:00:54 -0800] "GET /main.js HTTP/1.1" 404 1008
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:00:54 -0800] "GET /Planit.png HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:02:11 -0800] "GET /Planit/index.jsp HTTP/1.1" 200 13225
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:02:11 -0800] "GET /Planit/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:02:11 -0800] "GET /Planit.png HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:02:11 -0800] "GET /Planit/jquery-2.1.4.min.js HTTP/1.1" 200 84345
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:02:11 -0800] "GET /Planit/main.js HTTP/1.1" 200 624
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:02:11 -0800] "GET /Planit.png HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:02:11 -0800] "GET /Planit/Planit.png HTTP/1.1" 200 34790
